#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:lineage1_cluster7" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:lineage1_cluster7" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:lineage1_cluster7" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:lineage1_cluster7" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:lineage1_cluster7" spec="beast.base.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:lineage1_cluster7" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="BTB-1332=2014-11-05,BTB-1645=2015-05-06,BTB-584=2013-10-09,BTB-640=2013-10-28,BTB-665=2013-11-08">
#                        <taxa id="TaxonSet.lineage1_cluster7" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.lineage1_cluster7"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:lineage1_cluster7" name="distribution">
#            <parameter id="clockRate.c:lineage1_cluster7" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.042</parameter>
#            <Uniform id="Uniform.0" lower="0.0042" name="distr" upper="0.21"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:lineage1_cluster7" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:lineage1_cluster7" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="KappaPrior.s:lineage1_cluster7" name="distribution">
#            <parameter id="kappa.s:lineage1_cluster7" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:lineage1_cluster7" name="distribution" x="@popSize.t:lineage1_cluster7">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@lineage1_cluster7" id="treeLikelihood.lineage1_cluster7" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:lineage1_cluster7">
#            <siteModel id="SiteModel.s:lineage1_cluster7" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:lineage1_cluster7" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:lineage1_cluster7" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:lineage1_cluster7" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:lineage1_cluster7" kappa="@kappa.s:lineage1_cluster7" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:lineage1_cluster7" id="estimatedFreqs.s:lineage1_cluster7" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:lineage1_cluster7" id="StrictClock.c:lineage1_cluster7" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-70.65455658312791	-49.81331031026812	-20.841246272859784	-49.81331031026812	3.4729426149888374	7.157750996046209	0.042	2.0	0.25	0.25	0.25	0.25	0.3	-12.752244765843994
1000	-64.51079882624677	-48.017335944751196	-16.49346288149558	-48.017335944751196	3.628605104802322	7.83427457030813	0.12147691337622263	3.621938523705666	0.39592987781803307	0.2549954256489543	0.24646938945470362	0.10260530707830912	3.2738807699077555	-6.42192337346679
2000	-69.04970620359776	-46.9064740146654	-22.143232188932373	-46.9064740146654	3.9714470556110695	10.494989247100122	0.07413434988505316	1.6622839725260514	0.3425854137608944	0.12753320558296713	0.2626296807051368	0.2672516999510016	12.3537749654202	-10.988380538389974
3000	-63.1843588957375	-46.901134562650654	-16.283224333086853	-46.901134562650654	4.558856392434805	10.2830012659625	0.01028198217521318	3.1341224459619306	0.4352971391834662	0.22211287485700243	0.1795693640388851	0.16302062192064626	2.293853022118921	-6.913335158860947
4000	-65.48087915795588	-49.13401505714378	-16.346864100812112	-49.13401505714378	2.5278689188745807	6.221284514999542	0.1108337128923394	1.648496536797982	0.2222548407800748	0.39059301076303227	0.24302902565591544	0.14412312280097742	3.9053177059738857	-7.049759302337478
5000	-55.27576646486571	-48.1051287118007	-7.170637753065005	-48.1051287118007	1.897189195904082	2.6295187431072105	0.19484290546482286	2.091275334723148	0.19289607613404114	0.35853022100681536	0.3163424894266578	0.1322312134324856	0.320795492236088	1.2977660462616012
6000	-59.54246876094112	-47.34255262467834	-12.19991613626278	-47.34255262467834	2.714063312922002	5.629728861517254	0.11788608949726483	1.5995374369872748	0.3322179405255996	0.31318692664169945	0.1467577992238199	0.20783733360888101	0.9280715666181764	-4.076662226928114
7000	-62.08440846549131	-48.78575179633166	-13.298656669159651	-48.78575179633166	2.818913743868111	5.728590502088734	0.04245523243312341	2.433547944765213	0.5186888523246077	0.2887104187494198	0.09897358096118421	0.09362714796478823	1.0458604095138413	-3.7471427161640705
8000	-60.30540884474908	-49.686662098224865	-10.618746746524213	-49.686662098224865	2.1636673400900204	3.7570169324797895	0.025633046344998637	0.8057092933728963	0.11990019807925606	0.287818155747058	0.3454763866450607	0.24680525952862528	0.9996995079547291	-2.664351723364624
9000	-62.176381571893316	-48.1151043626736	-14.061277209219714	-48.1151043626736	2.4467448701682932	5.6565557464585785	0.02452573940660666	0.5762771129171336	0.11407263731554039	0.2431247164583882	0.33689423461763723	0.30590841160843424	2.366100355280866	-5.556325717130293
10000	-63.724755572234	-44.69971684018123	-19.025038732052774	-44.69971684018123	4.198127572646099	11.372296419525403	0.03671869322839525	3.6723540602406417	0.2431538775683971	0.16851187171567883	0.2746254326178981	0.313708818098026	4.898072182076992	-8.857407908319132
11000	-64.65347484196539	-44.42957293659484	-20.22390190537055	-44.42957293659484	6.772133205505023	17.818071478233303	0.010301619759601305	1.5682420195006717	0.14047084321772235	0.22766810179125713	0.42747678270325284	0.20438427228776787	2.0952713374001557	-11.509603041936733
12000	-63.52162127070103	-47.735018707156115	-15.786602563544914	-47.735018707156115	3.2891226714366764	7.640737049860258	0.026769109788233915	3.352678256258068	0.19277549959028165	0.12123047246549908	0.34250334085194356	0.3434906870922758	2.468631964900228	-6.202414452665845
13000	-68.91204765844978	-49.96116750449557	-18.95088015395421	-49.96116750449557	3.3742492104112825	9.573992248782915	0.16862325481456672	4.263581669961143	0.11631612385754082	0.1753581129999381	0.43475499907646636	0.27357076406605485	3.5254989499925586	-8.559674210197283
14000	-65.51993723091358	-46.62599432079681	-18.89394291011677	-46.62599432079681	3.6293409794529152	8.927163978622172	0.03390215954641842	6.098324399301668	0.11392019621951083	0.30842461368624646	0.49240876803255906	0.08524642206168354	3.0730502136083038	-7.491441469777728
15000	-67.68710549964119	-47.5870848779395	-20.100020621701688	-47.5870848779395	3.6501595898048413	10.214205082869755	0.07369248103648832	6.1434074595844415	0.13562970405816271	0.1917513609537085	0.5891628582145746	0.08345607677355414	3.304521631678355	-8.49781207385947
16000	-72.02146504297751	-50.39612459826825	-21.625340444709263	-50.39612459826825	5.3978868431433895	15.910162587597195	0.014170234766456099	6.733846429633761	0.4119208892342935	0.13561056102221714	0.3272925853587576	0.12517596438473172	4.5998530543396	-10.167242158827625
17000	-59.336651255065284	-46.0481558633022	-13.288495391763087	-46.0481558633022	2.8638765867162084	5.678021275136232	0.039904561941010434	1.8818447665742146	0.09527668491520679	0.30634393074912813	0.4585991231589044	0.13978026117676062	0.9102142405217263	-4.383641800388429
